dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,58.0,0.0006107347435317,2022-11-05 08:07:20.010038,2022-11-05 08:08:41.150803,0 days 00:01:21.140765,1.0,2.0,1024.0,0.0009121687981352,163.0,5.0,matern1.5,,PRUNED,0.0006107347435317,,,
44027.0,r1_08_PPV,1.0,59.0,2.3694756237091497e-06,2022-11-05 08:08:41.151161,2022-11-05 08:15:06.205361,0 days 00:06:25.054200,1.0,3.0,512.0,0.0096606497856577,409.0,2.0,rbf,,PRUNED,3.553473561623832e-06,2.3694756237091497e-06,,
44027.0,r1_08_PPV,1.0,60.0,3.6857431950920727e-06,2022-11-05 08:15:06.205907,2022-11-05 08:22:43.009438,0 days 00:07:36.803531,1.0,3.0,512.0,0.0264872034052334,533.0,3.0,rbf,,PRUNED,4.614857971318997e-06,3.6857431950920727e-06,,
44027.0,r1_08_PPV,1.0,61.0,8.63997956912499e-06,2022-11-05 08:22:43.009989,2022-11-05 08:28:48.811556,0 days 00:06:05.801567,1.0,3.0,512.0,0.0041028366096639,369.0,2.0,rbf,,PRUNED,7.538468253187602e-06,8.63997956912499e-06,,
44027.0,r1_08_PPV,1.0,62.0,1.5251356671797112e-05,2022-11-05 08:28:48.812092,2022-11-05 08:29:50.123568,0 days 00:01:01.311476,1.0,4.0,2048.0,0.0067391191862578,302.0,4.0,rbf,,PRUNED,1.5251356671797112e-05,,,
44027.0,r1_08_PPV,1.0,63.0,1.5918516510282643e-05,2022-11-05 08:29:50.123965,2022-11-05 08:34:29.165936,0 days 00:04:39.041971,1.0,3.0,512.0,0.0308585851496898,662.0,7.0,matern0.5,,PRUNED,1.5918516510282643e-05,,,
44027.0,r1_08_PPV,1.0,64.0,1.2007519671897171e-06,2022-11-05 08:34:29.166453,2022-11-05 08:39:59.313382,0 days 00:05:30.146929,1.0,2.0,2048.0,0.0273603212739469,729.0,4.0,rbf,9.0,COMPLETE,4.21900040237233e-06,,,
44027.0,r1_08_PPV,1.0,65.0,0.0002294736914336,2022-11-05 08:39:59.313993,2022-11-05 08:46:38.540583,0 days 00:06:39.226590,2.0,4.0,2048.0,0.0024370135049895,456.0,12.0,matern1.5,,PRUNED,0.0002294736914336,,,
44027.0,r1_08_PPV,1.0,66.0,1.4023022231413051e-05,2022-11-05 08:46:38.541012,2022-11-05 08:49:12.935797,0 days 00:02:34.394785,1.0,4.0,512.0,0.0013963100956835,316.0,5.0,rbf,,PRUNED,1.4023022231413051e-05,,,
44027.0,r1_08_PPV,1.0,67.0,3.899302100762725e-06,2022-11-05 08:49:12.936318,2022-11-05 08:56:11.372889,0 days 00:06:58.436571,1.0,3.0,512.0,0.0130675102462614,413.0,3.0,matern0.5,,PRUNED,4.72296687803464e-06,3.899302100762725e-06,,
44027.0,r1_08_PPV,1.0,68.0,3.3768158118618885e-06,2022-11-05 08:56:11.373439,2022-11-05 09:05:00.048180,0 days 00:08:48.674741,2.0,2.0,2048.0,0.010360338948229,74.0,4.0,matern0.5,,PRUNED,3.3768158118618885e-06,,,
44027.0,r1_08_PPV,1.0,69.0,5.447502189781517e-06,2022-11-05 09:05:00.048573,2022-11-05 09:14:23.171934,0 days 00:09:23.123361,3.0,2.0,2048.0,0.0567188329246235,505.0,5.0,rbf,,PRUNED,5.447502189781517e-06,,,
44027.0,r1_08_PPV,1.0,70.0,1.386397980240872e-05,2022-11-05 09:14:23.172312,2022-11-05 09:19:57.535858,0 days 00:05:34.363546,4.0,3.0,2048.0,0.018224940119775,292.0,8.0,matern1.5,,PRUNED,1.386397980240872e-05,,,
44027.0,r1_08_PPV,1.0,71.0,2.795682803480304e-06,2022-11-05 09:19:57.536271,2022-11-05 09:31:57.637920,0 days 00:12:00.101649,2.0,4.0,2048.0,0.0054470007298304,75.0,13.0,rbf,,PRUNED,2.795682803480304e-06,,,
44027.0,r1_08_PPV,1.0,72.0,2.3668833364354214e-06,2022-11-05 09:31:57.638252,2022-11-05 09:36:32.573819,0 days 00:04:34.935567,2.0,3.0,2048.0,0.0271890925009789,585.0,2.0,rbf,3.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,73.0,1.563081968924962e-05,2022-11-05 09:36:32.574432,2022-11-05 09:41:33.293760,0 days 00:05:00.719328,4.0,1.0,1024.0,0.0815597654857112,55.0,12.0,rbf,3.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,74.0,2.055344566542772e-06,2022-11-05 09:41:33.294378,2022-11-05 09:45:25.338363,0 days 00:03:52.043985,1.0,2.0,2048.0,0.0294149826970493,329.0,4.0,matern1.5,9.0,COMPLETE,3.6738817925652256e-06,,,
44027.0,r1_08_PPV,1.0,75.0,7.515105971833691e-05,2022-11-05 09:45:25.339011,2022-11-05 10:01:14.012035,0 days 00:15:48.673024,4.0,4.0,2048.0,0.0011347135866621,336.0,8.0,rbf,,PRUNED,7.515105971833691e-05,,,
44027.0,r1_08_PPV,1.0,76.0,1.965012597793248e-05,2022-11-05 10:01:14.012464,2022-11-05 10:03:27.910856,0 days 00:02:13.898392,1.0,4.0,1024.0,0.0052744450004059,654.0,2.0,rbf,,PRUNED,1.965012597793248e-05,,,
44027.0,r1_08_PPV,1.0,77.0,5.184105248190463e-06,2022-11-05 10:03:27.911286,2022-11-05 10:07:46.164449,0 days 00:04:18.253163,1.0,1.0,2048.0,0.0185913233659239,735.0,3.0,rbf,8.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,78.0,6.082023446651874e-06,2022-11-05 10:07:46.165074,2022-11-05 10:13:26.985643,0 days 00:05:40.820569,1.0,3.0,512.0,0.0051067596251416,227.0,5.0,rbf,,PRUNED,3.807435405178694e-06,6.082023446651874e-06,,
44027.0,r1_08_PPV,1.0,79.0,2.8035635750711663e-06,2022-11-05 10:13:26.986141,2022-11-05 10:19:06.973631,0 days 00:05:39.987490,1.0,3.0,512.0,0.0030891542180958,243.0,4.0,rbf,,PRUNED,3.957734861614881e-06,2.8035635750711663e-06,,
