dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_learning_rate,params_colsample_bytree,params_subsample,params_reg_alpha,params_reg_lambda,params_gamma,params_min_child_weight,user_attrs_n_estimators,state,system_attrs_fixed_params
44027.0,year,4.0,26.0,0.375202,2022-11-06 12:04:37.324622,2022-11-06 12:04:38.527571,0 days 00:00:01.202949,41.0,0.0099841837417799,0.2216791172877934,0.5339943108500754,1.1571385758896806,0.0014418594281534,3.4679563840920393e-08,46.29395770586256,,PRUNED,
44027.0,year,4.0,27.0,0.376764,2022-11-06 12:04:38.528277,2022-11-06 12:04:40.475282,0 days 00:00:01.947005,28.0,0.005379433496801,0.2634751181851746,0.6778333307659423,0.0805015323346323,1.9804958009379864e-07,1.849961893341023e-06,41.27795858836384,,PRUNED,
44027.0,year,4.0,28.0,0.363418,2022-11-06 12:04:40.475699,2022-11-06 12:04:42.536539,0 days 00:00:02.060840,46.0,0.0444244355271071,0.3180936014682604,0.4647684697056498,0.1425572566366244,0.0078666076039188,0.647197534448061,15.67953843811338,,PRUNED,
44027.0,year,4.0,29.0,0.0097624058851568,2022-11-06 12:04:42.537070,2022-11-06 12:11:32.711666,0 days 00:06:50.174596,24.0,0.0741929734567709,0.3841706330566444,0.5933318001876965,0.0408125368844388,0.0001106719210299,6.935408104688259e-08,70.05397400995261,258.0,COMPLETE,
44027.0,year,4.0,30.0,0.366537,2022-11-06 12:11:32.712989,2022-11-06 12:11:34.634130,0 days 00:00:01.921141,32.0,0.0352177094485342,0.534216348920341,0.6579449964295907,0.3755269342890474,1.1943961159910125e-05,0.0010567610452658,97.47134149546396,,PRUNED,
44027.0,year,4.0,31.0,0.0097513737255565,2022-11-06 12:11:34.634665,2022-11-06 12:18:09.895575,0 days 00:06:35.260910,23.0,0.0751204193193188,0.4669452307155285,0.5821003706790907,0.0316241391541421,0.0001242688991901,7.717837629108649e-08,66.01173921483911,217.0,COMPLETE,
44027.0,year,4.0,32.0,0.0099858257019058,2022-11-06 12:18:09.896891,2022-11-06 12:21:28.881381,0 days 00:03:18.984490,18.0,0.0986167724101922,0.4735051732030315,0.5323854386163434,0.0252793380214942,0.0080145690929784,6.458527321817261e-08,54.21900869156735,136.0,COMPLETE,
44027.0,year,4.0,33.0,0.355379,2022-11-06 12:21:28.882626,2022-11-06 12:21:31.601587,0 days 00:00:02.718961,22.0,0.0688598323665913,0.4484360367304918,0.6360801841971411,0.0139030271984746,0.0720377239234372,1.1737407820330864e-08,2.340899959371859,,PRUNED,
44027.0,year,4.0,34.0,0.363325,2022-11-06 12:21:31.601979,2022-11-06 12:21:33.347915,0 days 00:00:01.745936,14.0,0.0445998448965482,0.4288596572094997,0.6293345963005275,0.2089005201367772,1.099845045501874e-07,4.746945399308578e-07,67.20597431276653,,PRUNED,
44027.0,year,4.0,35.0,0.0098818459376464,2022-11-06 12:21:33.348424,2022-11-06 12:30:41.252845,0 days 00:09:07.904421,47.0,0.088531891264986,0.5905450697245723,0.5833728270213543,0.0331804718964879,3.180225973798023e-06,1.863477253845177e-06,48.46821858355376,161.0,COMPLETE,
