dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_BPV,2.0,39.0,0.0012441988801583,2022-11-08 21:56:02.471784,2022-11-08 22:01:30.604481,0 days 00:05:28.132697,458.0,4.0,0.0002812012711691,512.0,COMPLETE,0.0188204459846019,0.0035457105841487,,
44027.0,r1_08_BPV,2.0,40.0,49.19357681274414,2022-11-08 22:01:30.605145,2022-11-08 22:02:39.744188,0 days 00:01:09.139043,457.0,4.0,1.0652397665881745e-05,512.0,PRUNED,49.19357681274414,,,
44027.0,r1_08_BPV,2.0,41.0,3.704898357391357,2022-11-08 22:02:39.744507,2022-11-08 22:03:48.878429,0 days 00:01:09.133922,476.0,4.0,4.3883293176841656e-05,512.0,PRUNED,3.704898357391357,,,
44027.0,r1_08_BPV,2.0,42.0,0.3357568085193634,2022-11-08 22:03:48.878814,2022-11-08 22:08:35.902189,0 days 00:04:47.023375,984.0,3.0,0.055908462718148,8124.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,43.0,0.0005996407126076,2022-11-08 22:08:35.902888,2022-11-08 22:15:57.893904,0 days 00:07:21.991016,785.0,3.0,0.0003205766954503,512.0,COMPLETE,0.019384553655982,0.0017031668685376,,
44027.0,r1_08_BPV,2.0,44.0,0.1534891426563263,2022-11-08 22:15:57.894549,2022-11-08 22:18:37.417385,0 days 00:02:39.522836,944.0,4.0,0.0007020593218618,4096.0,PRUNED,0.1534891426563263,,,
44027.0,r1_08_BPV,2.0,45.0,5.2223734855651855,2022-11-08 22:18:37.417735,2022-11-08 22:21:13.806667,0 days 00:02:36.388932,360.0,6.0,0.0039242302335288,2048.0,PRUNED,5.2223734855651855,,,
44027.0,r1_08_BPV,2.0,46.0,0.0002915547811426,2022-11-08 22:21:13.807010,2022-11-08 22:34:20.532288,0 days 00:13:06.725278,847.0,5.0,0.0000385020109854,512.0,COMPLETE,0.0182131454348564,0.0026497899089008,0.0011617320124059,
44027.0,r1_08_BPV,2.0,47.0,0.0023565189912915,2022-11-08 22:34:20.532897,2022-11-08 22:39:32.077021,0 days 00:05:11.544124,252.0,3.0,0.0004738119090675,512.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,48.0,0.3824940621852875,2022-11-08 22:39:32.077636,2022-11-08 22:42:37.493484,0 days 00:03:05.415848,348.0,3.0,0.0159354630327919,8124.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,49.0,0.0008178896387107,2022-11-08 22:42:37.494096,2022-11-08 22:50:17.096705,0 days 00:07:39.602609,839.0,3.0,0.0003299431337807,512.0,COMPLETE,0.0164224356412887,0.0022013348061591,,
44027.0,r1_08_BPV,2.0,50.0,0.0016733552329242,2022-11-08 22:50:17.097299,2022-11-08 22:58:01.128077,0 days 00:07:44.030778,898.0,3.0,0.0004274053033131,512.0,PRUNED,0.012993898242712,0.0015356695512309,0.0016733552329242,
44027.0,r1_08_BPV,2.0,51.0,6.105154991149902,2022-11-08 22:58:01.128444,2022-11-08 22:59:02.467459,0 days 00:01:01.339015,802.0,2.0,0.0001295599811744,512.0,PRUNED,6.105154991149902,,,
44027.0,r1_08_BPV,2.0,52.0,0.5191311240196228,2022-11-08 22:59:02.467836,2022-11-08 23:01:39.113600,0 days 00:02:36.645764,518.0,6.0,0.0124876402780339,4096.0,COMPLETE,,,,
44027.0,r1_08_BPV,2.0,53.0,20.58504104614257,2022-11-08 23:01:39.114245,2022-11-08 23:08:43.088562,0 days 00:07:03.974317,314.0,3.0,4.755217817932668e-05,4096.0,PRUNED,20.58504104614257,,,
