dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
42225.0,diamonds,1.0,73.0,0.0010238245595246,2022-10-28 15:34:09.087914,2022-10-28 15:36:27.459102,0 days 00:02:18.371188,643.0,3.0,12.0,constant,matern0.5,,0.0029498675671893,512.0,1289.0,1.0,random,30.0,COMPLETE,
42225.0,diamonds,1.0,74.0,0.0010646170703694,2022-10-28 15:36:27.459701,2022-10-28 15:37:56.630083,0 days 00:01:29.170382,869.0,3.0,3.0,constant,rbf,,0.0058666414459895,512.0,732.0,1.0,random,25.0,COMPLETE,
42225.0,diamonds,1.0,75.0,0.0011057871161028,2022-10-28 15:37:56.630705,2022-10-28 15:38:51.527484,0 days 00:00:54.896779,529.0,3.0,11.0,constant,matern1.5,,0.0112258853421347,512.0,421.0,1.0,random,15.0,COMPLETE,
42225.0,diamonds,1.0,76.0,0.0010399013990536,2022-10-28 15:38:51.528062,2022-10-28 15:40:09.452379,0 days 00:01:17.924317,684.0,3.0,13.0,constant,matern0.5,,0.0076105098628883,512.0,321.0,0.0,kmeans,23.0,COMPLETE,
42225.0,diamonds,1.0,77.0,0.0011918044183403,2022-10-28 15:40:09.452994,2022-10-28 15:41:08.114072,0 days 00:00:58.661078,853.0,3.0,14.0,constant,matern1.5,,0.0035444586419685,2048.0,640.0,1.0,random,33.0,COMPLETE,
42225.0,diamonds,1.0,78.0,0.0010186348808929,2022-10-28 15:41:08.114681,2022-10-28 15:42:59.718978,0 days 00:01:51.604297,747.0,4.0,6.0,constant,matern0.5,,0.0021959609822056,512.0,562.0,1.0,random,33.0,COMPLETE,
42225.0,diamonds,1.0,79.0,0.0010812517721205,2022-10-28 15:42:59.719570,2022-10-28 15:45:04.861046,0 days 00:02:05.141476,808.0,4.0,6.0,linear,rbf,,0.0227266520702109,512.0,569.0,1.0,random,39.0,COMPLETE,
42225.0,diamonds,1.0,80.0,0.001077847322449,2022-10-28 15:45:04.861651,2022-10-28 15:46:39.944302,0 days 00:01:35.082651,424.0,4.0,5.0,constant,matern0.5,,0.0008956216259668,1024.0,504.0,1.0,random,49.0,COMPLETE,
42225.0,diamonds,1.0,81.0,0.001016748137772,2022-10-28 15:46:39.944907,2022-10-28 15:48:16.704501,0 days 00:01:36.759594,742.0,3.0,4.0,constant,matern0.5,,0.0022166781852498,512.0,379.0,1.0,random,32.0,COMPLETE,
42225.0,diamonds,1.0,82.0,0.0010694250231608,2022-10-28 15:48:16.705107,2022-10-28 15:49:20.120611,0 days 00:01:03.415504,779.0,3.0,3.0,constant,matern0.5,,0.0012109254887728,512.0,355.0,1.0,random,19.0,COMPLETE,
42225.0,diamonds,1.0,83.0,0.0010301440488547,2022-10-28 15:49:20.121231,2022-10-28 15:50:55.623075,0 days 00:01:35.501844,905.0,3.0,4.0,constant,matern0.5,,0.0018441998364885,512.0,459.0,1.0,random,30.0,COMPLETE,
42225.0,diamonds,1.0,84.0,0.0010326474439352,2022-10-28 15:50:55.623659,2022-10-28 15:52:05.837734,0 days 00:01:10.214075,621.0,3.0,6.0,constant,matern0.5,,0.0026438927835155,512.0,423.0,1.0,random,21.0,COMPLETE,
42225.0,diamonds,1.0,85.0,0.0010546932462602,2022-10-28 15:52:05.838334,2022-10-28 15:53:24.245012,0 days 00:01:18.406678,786.0,4.0,4.0,constant,matern0.5,,0.0021691553393503,512.0,183.0,1.0,random,25.0,COMPLETE,
42225.0,diamonds,1.0,86.0,0.0010904432274401,2022-10-28 15:53:24.245612,2022-10-28 15:59:44.203145,0 days 00:06:19.957533,753.0,3.0,7.0,constant,matern1.5,,0.000160834345161,512.0,612.0,1.0,kmeans,107.0,COMPLETE,
42225.0,diamonds,1.0,87.0,0.0010490738786756,2022-10-28 15:59:44.203738,2022-10-28 16:00:46.361355,0 days 00:01:02.157617,183.0,3.0,6.0,constant,matern0.5,,0.0044944543120728,512.0,365.0,1.0,random,19.0,COMPLETE,
42225.0,diamonds,1.0,88.0,0.0010534138418734,2022-10-28 16:00:46.361906,2022-10-28 16:02:50.471592,0 days 00:02:04.109686,705.0,3.0,2.0,constant,matern0.5,,0.0015404634259255,512.0,546.0,0.0,random,41.0,COMPLETE,
42225.0,diamonds,1.0,89.0,0.0010334696853533,2022-10-28 16:02:50.472192,2022-10-28 16:05:42.671003,0 days 00:02:52.198811,667.0,4.0,3.0,constant,matern1.5,,0.0004654563755195,512.0,291.0,1.0,random,61.0,COMPLETE,
42225.0,diamonds,1.0,90.0,0.0030650412663817,2022-10-28 16:05:42.671573,2022-10-28 16:05:58.645479,0 days 00:00:15.973906,358.0,3.0,8.0,constant,matern0.5,,0.0383177444202738,2048.0,63.0,1.0,random,5.0,COMPLETE,
42225.0,diamonds,1.0,91.0,0.0010390798561275,2022-10-28 16:05:58.646057,2022-10-28 16:07:32.871237,0 days 00:01:34.225180,739.0,3.0,12.0,constant,matern0.5,,0.0055511872402689,512.0,828.0,1.0,random,24.0,COMPLETE,
42225.0,diamonds,1.0,92.0,0.0010593431070446,2022-10-28 16:07:32.871826,2022-10-28 16:09:00.607083,0 days 00:01:27.735257,728.0,3.0,13.0,constant,matern0.5,,0.0075161847919753,512.0,1072.0,1.0,random,20.0,COMPLETE,
42225.0,diamonds,1.0,93.0,0.0009931663516908,2022-10-28 16:09:00.607671,2022-10-28 16:12:11.650207,0 days 00:03:11.042536,827.0,3.0,12.0,constant,matern0.5,,0.0034779528294262,512.0,946.0,1.0,random,54.0,COMPLETE,
42225.0,diamonds,1.0,94.0,0.0010554997716099,2022-10-28 16:12:11.650805,2022-10-28 16:13:25.647877,0 days 00:01:13.997072,600.0,3.0,11.0,constant,matern0.5,,0.0035377294861427,512.0,966.0,1.0,random,17.0,COMPLETE,
42225.0,diamonds,1.0,95.0,0.0010228639002889,2022-10-28 16:13:25.648453,2022-10-28 16:15:10.990406,0 days 00:01:45.341953,634.0,3.0,14.0,constant,matern0.5,,0.0030276859072528,512.0,720.0,1.0,random,30.0,COMPLETE,
42225.0,diamonds,1.0,96.0,0.0010165497660636,2022-10-28 16:15:10.991030,2022-10-28 16:17:51.128545,0 days 00:02:40.137515,845.0,3.0,10.0,linear,matern0.5,,0.0105300741403853,512.0,1220.0,1.0,random,37.0,COMPLETE,
42225.0,diamonds,1.0,97.0,0.0010779246222227,2022-10-28 16:17:51.129173,2022-10-28 16:19:59.809785,0 days 00:02:08.680612,944.0,3.0,12.0,linear,rbf,,0.010105966011726,512.0,1398.0,1.0,random,27.0,COMPLETE,
