dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,27.0,0.0001467237016186,2022-11-05 11:31:50.204550,2022-11-05 11:39:05.824413,0 days 00:07:15.619863,3.0,3.0,1024.0,0.0030610092735971,50.0,10.0,0.05,,,,PRUNED,0.0001467237016186,,,
44027.0,r1_08_PPV,1.0,28.0,0.0001070365833584,2022-11-05 11:39:05.824786,2022-11-05 11:41:23.430441,0 days 00:02:17.605655,1.0,2.0,512.0,0.0003633313423595,153.0,8.0,0.01,,,,PRUNED,0.0001070365833584,,,
44027.0,r1_08_PPV,1.0,29.0,8.396717021241784e-06,2022-11-05 11:41:23.430822,2022-11-05 11:53:49.936027,0 days 00:12:26.505205,3.0,3.0,1024.0,0.0077994793870032,293.0,10.0,0.05,,,,PRUNED,3.6542321595334215e-06,8.396717021241784e-06,,
44027.0,r1_08_PPV,1.0,30.0,1.1675546375045087e-05,2022-11-05 11:53:49.936397,2022-11-05 12:24:01.841787,0 days 00:30:11.905390,2.0,2.0,512.0,0.0002423647657897,262.0,7.0,0.2,27.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,31.0,0.0002269743854412,2022-11-05 12:24:01.842322,2022-11-05 12:34:25.217642,0 days 00:10:23.375320,2.0,4.0,2048.0,0.0437846416940953,482.0,6.0,0.2,,,,PRUNED,1.12689576781122e-05,0.0002269743854412,,
44027.0,r1_08_PPV,1.0,32.0,1.4044801446289057e-06,2022-11-05 12:34:25.218022,2022-11-05 12:40:43.998516,0 days 00:06:18.780494,1.0,4.0,2048.0,0.0236437043312679,477.0,5.0,1.0,14.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,33.0,1.4898509107297286e-05,2022-11-05 12:40:43.999057,2022-11-05 12:43:55.493195,0 days 00:03:11.494138,1.0,1.0,1024.0,0.077794091162047,166.0,6.0,1.0,5.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,34.0,2.179510829591891e-06,2022-11-05 12:43:55.493732,2022-11-05 12:49:15.516162,0 days 00:05:20.022430,2.0,2.0,2048.0,0.0222432576259881,179.0,6.0,0.2,8.0,,,COMPLETE,1.8628879843163304e-05,,,
44027.0,r1_08_PPV,1.0,35.0,0.0001390982361044,2022-11-05 12:49:15.516692,2022-11-05 12:55:29.868613,0 days 00:06:14.351921,1.0,2.0,512.0,0.000114217064857,304.0,6.0,0.05,,,,PRUNED,0.0001390982361044,,,
44027.0,r1_08_PPV,1.0,36.0,3.830019704764709e-05,2022-11-05 12:55:29.868973,2022-11-05 13:05:29.393605,0 days 00:09:59.524632,3.0,1.0,512.0,0.0670501849805947,224.0,6.0,0.2,4.0,,,COMPLETE,,,,
