dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,67.0,0.0150061203166842,2022-11-04 19:02:03.592657,2022-11-04 19:06:41.938758,0 days 00:04:38.346101,3.0,2.0,1024.0,0.0041564935461505,410.0,10.0,0.2,,,,PRUNED,0.0150061203166842,,,,
44027.0,year,1.0,68.0,0.1050157770514488,2022-11-04 19:06:41.939135,2022-11-04 19:11:46.599544,0 days 00:05:04.660409,3.0,4.0,2048.0,0.0010237330768649,346.0,8.0,1.0,,,,PRUNED,0.1050157770514488,,,,
44027.0,year,1.0,69.0,0.1423874050378799,2022-11-04 19:11:46.599981,2022-11-04 19:13:44.526041,0 days 00:01:57.926060,1.0,1.0,512.0,0.0002236601105881,225.0,6.0,0.01,,,,PRUNED,0.1423874050378799,,,,
44027.0,year,1.0,70.0,0.0141609366983175,2022-11-04 19:13:44.526413,2022-11-04 19:15:47.939313,0 days 00:02:03.412900,2.0,4.0,1024.0,0.0004492467373846,92.0,10.0,0.2,,,,PRUNED,0.0141609366983175,,,,
44027.0,year,1.0,71.0,0.0107276458293199,2022-11-04 19:15:47.939740,2022-11-04 19:36:31.317773,0 days 00:20:43.378033,3.0,3.0,2048.0,0.0339385083569827,169.0,9.0,0.05,23.0,,,COMPLETE,0.012197078205645,0.0113528240472078,,,
44027.0,year,1.0,72.0,0.0150274410843849,2022-11-04 19:36:31.318313,2022-11-04 19:39:27.261396,0 days 00:02:55.943083,3.0,3.0,2048.0,0.0356017006922338,166.0,9.0,0.05,,,,PRUNED,0.0150274410843849,,,,
44027.0,year,1.0,73.0,0.0150028485804796,2022-11-04 19:39:27.261769,2022-11-04 19:43:19.912023,0 days 00:03:52.650254,2.0,2.0,1024.0,0.0016576339710849,53.0,6.0,0.2,,,,PRUNED,0.0150028485804796,,,,
44027.0,year,1.0,74.0,0.0151682393625378,2022-11-04 19:43:19.912391,2022-11-04 19:46:55.509856,0 days 00:03:35.597465,3.0,4.0,2048.0,0.0515674570958533,192.0,9.0,0.05,,,,PRUNED,0.0151682393625378,,,,
44027.0,year,1.0,75.0,0.0106312632560729,2022-11-04 19:46:55.510234,2022-11-04 20:05:58.505465,0 days 00:19:02.995231,3.0,3.0,2048.0,0.0158583609877445,50.0,8.0,0.05,28.0,,,COMPLETE,0.0123070925474166,0.0111359599977731,0.0106312632560729,,
44027.0,year,1.0,76.0,0.0120184104889631,2022-11-04 20:05:58.506016,2022-11-04 20:16:24.938479,0 days 00:10:26.432463,2.0,1.0,2048.0,0.0560742653323419,373.0,7.0,0.01,,,,PRUNED,0.0120184104889631,,,,
44027.0,year,1.0,77.0,0.0150371389463543,2022-11-04 20:16:24.938834,2022-11-04 20:20:08.032341,0 days 00:03:43.093507,1.0,4.0,1024.0,0.0077824282149114,308.0,8.0,0.01,,,,PRUNED,0.0150371389463543,,,,
44027.0,year,1.0,78.0,0.0109387384727597,2022-11-04 20:20:08.032699,2022-11-04 20:36:52.541080,0 days 00:16:44.508381,3.0,3.0,2048.0,0.0267769159591274,64.0,9.0,0.05,22.0,,,COMPLETE,0.0121334576979279,0.0111744059249758,,,
44027.0,year,1.0,79.0,0.0108548430725932,2022-11-04 20:36:52.541665,2022-11-04 21:17:13.757157,0 days 00:40:21.215492,1.0,4.0,512.0,0.0007245189263675,398.0,7.0,0.05,55.0,,,COMPLETE,0.0112297581508755,,,,
44027.0,year,1.0,80.0,0.0109053729102015,2022-11-04 21:17:13.757734,2022-11-04 21:32:50.173609,0 days 00:15:36.415875,3.0,3.0,2048.0,0.0152379427389572,51.0,8.0,0.05,22.0,,,COMPLETE,0.0116105256602168,0.0112329395487904,,,
44027.0,year,1.0,81.0,0.0108675332739949,2022-11-04 21:32:50.174183,2022-11-04 21:41:32.800042,0 days 00:08:42.625859,2.0,3.0,2048.0,0.016681083550623,50.0,8.0,0.01,17.0,,,COMPLETE,0.0116748223081231,0.0110760955139994,,,
44027.0,year,1.0,82.0,0.0111353304237127,2022-11-04 21:41:32.800603,2022-11-04 21:46:59.050684,0 days 00:05:26.250081,2.0,4.0,2048.0,0.0189129760493001,51.0,7.0,0.01,8.0,,,COMPLETE,0.0116850547492504,0.0112805953249335,,,
44027.0,year,1.0,83.0,0.01089758425951,2022-11-04 21:46:59.051263,2022-11-04 21:57:01.817349,0 days 00:10:02.766086,3.0,3.0,1024.0,0.0309696862165694,154.0,7.0,0.2,10.0,,,COMPLETE,0.01089758425951,,,,
44027.0,year,1.0,84.0,0.0150074418634176,2022-11-04 21:57:01.817920,2022-11-04 21:58:37.617362,0 days 00:01:35.799442,2.0,3.0,2048.0,0.0798159729726588,61.0,8.0,0.01,,,,PRUNED,0.0150074418634176,,,,
44027.0,year,1.0,85.0,0.0135734854266047,2022-11-04 21:58:37.617724,2022-11-04 22:08:11.054809,0 days 00:09:33.437085,3.0,2.0,512.0,0.034762134633759,159.0,7.0,0.2,,,,PRUNED,0.0135734854266047,,,,
44027.0,year,1.0,86.0,0.010864594951272,2022-11-04 22:08:11.055198,2022-11-04 22:14:41.194211,0 days 00:06:30.139013,1.0,4.0,2048.0,0.0153023728158608,77.0,8.0,0.01,,,,PRUNED,0.012003137730062,0.0112460032105445,0.010864594951272,,
44027.0,year,1.0,87.0,0.0150315091013908,2022-11-04 22:14:41.194608,2022-11-04 22:16:11.572959,0 days 00:01:30.378351,2.0,3.0,2048.0,0.0390028658474644,59.0,7.0,0.01,,,,PRUNED,0.0150315091013908,,,,
44027.0,year,1.0,88.0,0.0150012141093611,2022-11-04 22:16:11.573320,2022-11-04 22:25:20.485013,0 days 00:09:08.911693,3.0,3.0,2048.0,0.033029206849662,595.0,9.0,0.2,1.0,,,COMPLETE,,,,,
44027.0,year,1.0,89.0,0.0150039047002792,2022-11-04 22:25:20.485613,2022-11-04 22:27:43.231668,0 days 00:02:22.746055,3.0,3.0,2048.0,0.0274214380052846,72.0,8.0,0.05,,,,PRUNED,0.0150039047002792,,,,
44027.0,year,1.0,90.0,0.0150019181892275,2022-11-04 22:27:43.232055,2022-11-04 22:31:32.619293,0 days 00:03:49.387238,2.0,3.0,1024.0,0.088612965556178,169.0,10.0,0.2,2.0,,,COMPLETE,,,,,
44027.0,year,1.0,91.0,0.0106844315305352,2022-11-04 22:31:32.619943,2022-11-04 23:11:18.962420,0 days 00:39:46.342477,1.0,4.0,1024.0,0.0013049923861463,226.0,8.0,1.0,112.0,,,COMPLETE,,,,,
44027.0,year,1.0,92.0,0.0112556619569659,2022-11-04 23:11:18.963026,2022-11-04 23:17:06.729600,0 days 00:05:47.766574,3.0,3.0,2048.0,0.0227651949861322,55.0,8.0,0.01,,,,PRUNED,0.0119534730911254,0.0112556619569659,,,
44027.0,year,1.0,93.0,0.0150744086131453,2022-11-04 23:17:06.730041,2022-11-04 23:19:28.911509,0 days 00:02:22.181468,3.0,3.0,2048.0,0.0597606172242732,65.0,8.0,0.05,,,,PRUNED,0.0150744086131453,,,,
44027.0,year,1.0,94.0,0.0151103865355253,2022-11-04 23:19:28.911939,2022-11-04 23:21:58.876798,0 days 00:02:29.964859,3.0,4.0,2048.0,0.0270455703548238,55.0,7.0,1.0,,,,PRUNED,0.0151103865355253,,,,
44027.0,year,1.0,95.0,0.0109842624515295,2022-11-04 23:21:58.877218,2022-11-04 23:29:43.595107,0 days 00:07:44.717889,1.0,3.0,1024.0,0.0073505106316991,95.0,5.0,0.2,,,,PRUNED,0.0111542232334613,0.0109842624515295,,,
44027.0,year,1.0,96.0,0.0118434261530637,2022-11-04 23:29:43.595482,2022-11-04 23:33:59.868574,0 days 00:04:16.273092,2.0,3.0,2048.0,0.009894250542078,68.0,9.0,0.01,,,,PRUNED,0.0118998438119888,0.0118434261530637,,,
44027.0,year,1.0,97.0,0.015003278851509,2022-11-04 23:33:59.868980,2022-11-04 23:36:36.841685,0 days 00:02:36.972705,3.0,3.0,2048.0,0.0140432681016411,51.0,10.0,0.05,,,,PRUNED,0.015003278851509,,,,
44027.0,year,1.0,98.0,0.0150188514962792,2022-11-04 23:36:36.842109,2022-11-04 23:39:38.233189,0 days 00:03:01.391080,3.0,4.0,2048.0,0.0340859918845178,85.0,9.0,0.05,,,,PRUNED,0.0150188514962792,,,,
44027.0,year,1.0,99.0,0.015001269057393,2022-11-04 23:39:38.233639,2022-11-04 23:47:13.053294,0 days 00:07:34.819655,3.0,4.0,1024.0,0.0020466911227565,235.0,6.0,1.0,4.0,,,COMPLETE,,,,,
